sample,site,treatment,Factor,geno,C,N,pH,SOM,Deadwood volume
f67,Josenwald,managed,JosenwaldM,1,15.45,0.994,6.46,31.12669882,72.36530494
f68,Josenwald,managed,JosenwaldM,1,10.99,0.689,6.03,23.83275261,24.63322919
f69,Josenwald,managed,JosenwaldM,1,13.36,0.838,7.21,23.72336148,64.01212793
f70,Josenwald,managed,JosenwaldM,1,8.66,0.655,5.7,19.23974658,58.69714571
f71,Josenwald,natural,JosenwaldN,2,8.52,0.566,6.62,18.4169279,269.1209854
f72,Josenwald,natural,JosenwaldN,2,10.78,0.71,7.11,21.68183244,390.3810308
f73,Josenwald,natural,JosenwaldN,2,7.33,0.438,5.07,16.34582911,335.6531091
f74,Josenwald,natural,JosenwaldN,2,38.37,2.005,5.42,77.77777778,273.8789798
f75,Josenwald,natural,JosenwaldN,2,8.21,0.537,6.33,18.06736985,125.5311645
f76,Josenwald,natural,JosenwaldN,2,9.77,0.598,5.31,21.84081479,156.1849606
f77,Josenwald,natural,JosenwaldN,2,41.36,2.967,6.08,84.59616986,127.3495445
f78,Josenwald,natural,JosenwaldN,2,11.09,0.715,6.01,23.52475248,183.0454949
f79,Josenwald,natural,JosenwaldN,2,6.97,0.527,6.03,16.09841828,79.82092198
f80,Josenwald,natural,JosenwaldN,2,10.56,0.692,5.98,23.04818827,9.080101224
f81,Leihubelwald,managed,LeihubelwaldM,1,40.49,1.727,3.07,80.36971831,22.45486715
f82,Leihubelwald,managed,LeihubelwaldM,1,10.14,0.567,5.29,19.7721725,106.0320861
f83,Leihubelwald,managed,LeihubelwaldM,1,8,0.482,5.66,15.64849624,97.92875132
f84,Leihubelwald,managed,LeihubelwaldM,1,27.25,1.248,3.85,53.25762104,167.8428956
f85,Leihubelwald,managed,LeihubelwaldM,1,6.8,0.359,4.81,13.77598511,33.97206927
f86,Leihubelwald,managed,LeihubelwaldM,1,9.3,0.569,3.37,18.34153197,9.92423883
f87,Leihubelwald,managed,LeihubelwaldM,1,8.84,0.501,5.42,17.76691117,197.2571436
f88,Leihubelwald,managed,LeihubelwaldM,1,9.49,0.671,4.84,20.75949367,176.6060093
f89,Leihubelwald,managed,LeihubelwaldM,1,12.09,0.661,3.59,25.375,64.78430874
f90,Leihubelwald,managed,LeihubelwaldM,1,16.36,0.9,3.55,34.26365796,76.2522477
f91,Leihubelwald,natural,LeihubelwaldN,2,8.31,0.426,3.72,20.41827188,488.9224043
f92,Leihubelwald,natural,LeihubelwaldN,2,13.2,0.73,3.65,26.87609075,943.211404
f93,Leihubelwald,natural,LeihubelwaldN,2,10.02,0.58,4.85,21.08747045,268.9742289
f94,Leihubelwald,natural,LeihubelwaldN,2,21.58,0.95,6.03,39.51446281,135.7269067
f95,Leihubelwald,natural,LeihubelwaldN,2,2.75,0.158,5.61,6.408879341,160.3145789
f96,Leihubelwald,natural,LeihubelwaldN,2,6.96,0.391,3.6,13.72085164,64.95709129
f97,Leihubelwald,natural,LeihubelwaldN,2,4.75,0.278,4.55,10.02419634,423.7018354
f98,Leihubelwald,natural,LeihubelwaldN,2,9.2,0.561,3.32,18.4991274,117.9732405
f99,Leihubelwald,natural,LeihubelwaldN,2,12.49,0.655,3.59,24.24496644,212.7409126
f100,Leihubelwald,natural,LeihubelwaldN,2,22.81,1.415,3.75,46.78414097,416.5272416
f101,Scatle,managed,ScatleM,1,21.78,0.861,3.67,37.80834915,52.73848251
f102,Scatle,managed,ScatleM,1,26.49,1.153,3.67,52.08333333,153.0852671
f103,Scatle,managed,ScatleM,1,38.07,1.669,3.91,74.55507456,107.6623742
f104,Scatle,managed,ScatleM,1,5.54,0.398,3.56,11.26267926,31.60166063
f105,Scatle,managed,ScatleM,1,17.96,1.218,3.82,33.03046499,4.0350616
f106,Scatle,managed,ScatleM,1,28.76,1.2,3.67,55.3443177,66.08275169
f107,Scatle,managed,ScatleM,1,20.38,0.922,3.3,43.79603399,22.95586631
f108,Scatle,managed,ScatleM,1,8.9,0.441,4.19,19.21092564,78.42834417
f109,Scatle,managed,ScatleM,1,10.08,0.458,3.21,20.83691602,67.23375765
f110,Scatle,managed,ScatleM,1,42.12,1.552,3.45,82.08508089,109.5319803
f111,Scatle,natural,ScatleN,2,9.34,0.555,4.24,19.28364689,10.17944136
f112,Scatle,natural,ScatleN,2,20.82,0.998,3.42,41.19131752,238.6118414
f113,Scatle,natural,ScatleN,2,10.35,0.585,3.92,22.26080247,638.2312393
f114,Scatle,natural,ScatleN,2,7.14,0.449,4.4,15.50841258,0
f115,Scatle,natural,ScatleN,2,6.78,0.379,3.73,14.75843812,541.6194525
f116,Scatle,natural,ScatleN,2,10.81,0.533,3.76,22.81632653,402.0785204
f117,Scatle,natural,ScatleN,2,8.55,0.395,3.56,18.54326762,329.0523611
f118,Scatle,natural,ScatleN,2,4.84,0.288,4.39,11.18927973,454.7954326
f119,Scatle,natural,ScatleN,2,9.89,0.541,4.29,20.52698683,271.7677605
f120,Scatle,natural,ScatleN,2,6.36,0.4,5.2,13.53568499,361.1283676
f121,Combe Biosse,managed,Combe BiosseM,1,7.89,0.423,5.01,12.7254509,19.13365026
f122,Combe Biosse,managed,Combe BiosseM,1,10.65,0.604,4.35,22.79792746,51.27050613
f123,Combe Biosse,managed,Combe BiosseM,1,10.91,0.68,6.25,24.43064182,8.669350199
f124,Combe Biosse,managed,Combe BiosseM,1,22.31,1.257,6.55,45.7367387,94.33302463
f125,Combe Biosse,managed,Combe BiosseM,1,27.33,1.438,6.61,56.11681137,66.46658129
f126,Combe Biosse,managed,Combe BiosseM,1,44.78,1.817,5.47,89.04458599,130.0103582
f127,Combe Biosse,managed,Combe BiosseM,1,31.4,1.639,6.24,62.98237256,70.10596155
f128,Combe Biosse,managed,Combe BiosseM,1,21.24,1.197,6.64,44.64285714,106.2132929
f129,Combe Biosse,managed,Combe BiosseM,1,40.87,2.12,6.31,79.08745247,5.098569257
f130,Combe Biosse,managed,Combe BiosseM,1,18.75,1.063,7.19,32.42725881,8.771062355
f131,Combe Biosse,natural,Combe BiosseN,2,6.34,0.398,4.78,13.51174935,137.3144919
f132,Combe Biosse,natural,Combe BiosseN,2,9.31,0.646,5.98,20.01429593,52.81426634
f133,Combe Biosse,natural,Combe BiosseN,2,32.31,1.606,5.66,59.54676953,139.7940982
f134,Combe Biosse,natural,Combe BiosseN,2,9.92,0.678,5.62,22.48032971,129.7879511
f135,Combe Biosse,natural,Combe BiosseN,2,9.69,0.658,5.61,20.45723295,101.1764341
f136,Combe Biosse,natural,Combe BiosseN,2,12.43,0.846,6.08,25.18394649,139.4237624
f137,Combe Biosse,natural,Combe BiosseN,2,15.71,1.047,5.8,33.9070568,86.19204837
f138,Combe Biosse,natural,Combe BiosseN,2,23.53,1.368,5.94,48.96421846,118.1342975
f139,Combe Biosse,natural,Combe BiosseN,2,11.73,0.788,5.97,26.93498452,116.4425172
f140,Combe Biosse,natural,Combe BiosseN,2,17.02,0.933,4.92,35.35752785,11.55150033
f141,Tariche,managed,TaricheM,1,15.68,0.911,6.51,34.20829805,129.7967902
f142,Tariche,managed,TaricheM,1,12.77,0.817,6.8,28.30645161,43.86077353
f143,Tariche,managed,TaricheM,1,10.57,0.599,6.3,23.20503331,34.80056337
f144,Tariche,managed,TaricheM,1,22.95,1.671,7.07,44.81427882,81.51753384
f145,Tariche,managed,TaricheM,1,14.83,0.872,7.06,30.82278481,38.71257389
f146,Tariche,managed,TaricheM,1,18.45,0.936,6.27,39.33085502,150.4445598
f147,Tariche,managed,TaricheM,1,19.89,1.102,6.64,41.12734864,61.93759028
f148,Tariche,managed,TaricheM,1,19.12,1.077,6.94,39.41382327,73.54415685
f149,Tariche,managed,TaricheM,1,23.69,1.335,6.46,49.65449161,38.49248289
f150,Tariche,managed,TaricheM,1,22.91,1.279,5.43,47.45879121,12.69792986
f151,Tariche,natural,TaricheN,2,10.77,0.724,6.97,25.04970179,133.9278295
f152,Tariche,natural,TaricheN,2,17.81,1.039,6.79,37.75724486,108.5147425
f153,Tariche,natural,TaricheN,2,15.87,1.029,6.91,32.63565891,239.896976
f154,Tariche,natural,TaricheN,2,17.68,0.91,6.33,38.06137725,92.05844447
f155,Tariche,natural,TaricheN,2,8.2,0.564,6,18.69679109,211.7409971
f156,Tariche,natural,TaricheN,2,12.12,0.861,6.9,26.00438276,93.88312295
f157,Tariche,natural,TaricheN,2,11.26,0.703,6.77,24.47504303,62.57103378
f158,Tariche,natural,TaricheN,2,13.87,0.942,7.1,28.33261895,123.2879573
f159,Tariche,natural,TaricheN,2,14.38,0.899,6.75,29.96389892,39.61363542
f160,Tariche,natural,TaricheN,2,14.99,0.956,7.25,28.90682318,81.02333088
f161,Trelex,managed,TrelexM,1,21.32,1.209,5.47,10.23526558,86.53041287
f162,Trelex,managed,TrelexM,1,9.04,0.495,4.73,9.158163265,113.3540418
