ASV_numbers,domain,phylum,class,order,family,genus,species
ASV_63,Eukaryota,Ascomycota,NA,Pezizales,Pyronemataceae,Otidea,Otidea_bufonia
ASV_64,Eukaryota,Basidiomycota,NA,Atheliales,Atheliales_fam_Incertae_sedis,Atheliales_gen_Incertae_sedis,Atheliales_sp
ASV_65,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_66,Eukaryota,Basidiomycota,NA,Atheliales,Pilodermataceae,Piloderma,Piloderma_sp
ASV_67,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_68,Eukaryota,Mortierellomycota,NA,Mortierellales,Mortierellaceae,Podila,Podila_minutissima
ASV_69,Eukaryota,Basidiomycota,NA,Agaricales,Tricholomataceae,Clitocybe,Clitocybe_nebularis
ASV_70,Eukaryota,Mortierellomycota,NA,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp
ASV_71,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_72,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_73,Eukaryota,Ascomycota,NA,Eurotiales,Aspergillaceae,Penicillium,NA
ASV_74,Eukaryota,Mortierellomycota,NA,Mortierellales,Mortierellaceae,Podila,NA
ASV_75,Eukaryota,Ascomycota,NA,Chaetothyriales,Herpotrichiellaceae,Exophiala,NA
ASV_76,Eukaryota,Ascomycota,NA,Helotiales,Myxotrichaceae,Oidiodendron,NA
ASV_77,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Lactarius,Lactarius_pallidus
ASV_78,Eukaryota,Ascomycota,NA,Pezizales,Pyronemataceae,Pyronemataceae_gen_Incertae_sedis,Pyronemataceae_sp
ASV_79,Eukaryota,Basidiomycota,NA,Thelephorales,Thelephoraceae,Tomentella,NA
ASV_80,Eukaryota,Ascomycota,NA,Pleosporales,Sporormiaceae,Preussia,Preussia_flanaganii
ASV_81,Eukaryota,Basidiomycota,NA,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_sp
ASV_82,Eukaryota,Basidiomycota,NA,Atheliales,Pilodermataceae,Piloderma,Piloderma_byssinum
ASV_83,Eukaryota,Ascomycota,NA,Mytilinidales,Gloniaceae,NA,NA
ASV_84,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inosperma,Inosperma_ismeneanum
ASV_85,Eukaryota,Ascomycota,NA,Helotiales,Myxotrichaceae,NA,NA
ASV_86,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,NA
ASV_87,Eukaryota,Ascomycota,NA,Eurotiales,Elaphomycetaceae,Elaphomyces,NA
ASV_88,Eukaryota,Basidiomycota,NA,Cantharellales,Hydnaceae,Clavulina,Clavulina_sp
ASV_89,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_hirtella
ASV_90,NA,NA,NA,NA,NA,NA,NA
ASV_91,Eukaryota,Ascomycota,NA,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,Saccharomycetales_sp
ASV_92,Eukaryota,Basidiomycota,NA,Atheliales,Pilodermataceae,Piloderma,Piloderma_sp
ASV_93,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_94,Eukaryota,Ascomycota,NA,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Nadsonia,Nadsonia_starkeyi-henricii
ASV_95,Eukaryota,Ascomycota,NA,Capnodiales,Cladosporiaceae,Cladosporium,NA
ASV_96,Eukaryota,Ascomycota,NA,Eurotiales,Elaphomycetaceae,Elaphomyces,Elaphomyces_citrinopapillatus
ASV_97,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_98,Eukaryota,Ascomycota,NA,Eurotiales,Elaphomycetaceae,Elaphomyces,Elaphomyces_muricatus
ASV_99,Eukaryota,Ascomycota,NA,Eurotiales,Trichocomaceae,Sagenomella,NA
ASV_100,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_101,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_102,Eukaryota,Basidiomycota,NA,Tremellales,NA,NA,NA
ASV_103,Eukaryota,Basidiomycota,NA,Atheliales,Pilodermataceae,Piloderma,Piloderma_sp
ASV_104,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_105,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_epigaea
ASV_106,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_incrustans
ASV_107,Eukaryota,Basidiomycota,NA,Geminibasidiales,Geminibasidiaceae,Geminibasidium,NA
ASV_108,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_sp
ASV_109,Eukaryota,Mortierellomycota,NA,Mortierellales,Mortierellaceae,Podila,Podila_minutissima
ASV_110,Eukaryota,Ascomycota,NA,GS35_ord_Incertae_sedis,GS35_fam_Incertae_sedis,GS35_gen_Incertae_sedis,GS35_sp
ASV_111,Eukaryota,Basidiomycota,NA,Cantharellales,Cantharellales_fam_Incertae_sedis,Cantharellales_gen_Incertae_sedis,Cantharellales_sp
ASV_112,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_tigrina
ASV_113,Eukaryota,Ascomycota,NA,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp
ASV_114,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_115,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,NA
ASV_116,Eukaryota,Ascomycota,NA,Eurotiales,Aspergillaceae,Penicillium,NA
ASV_117,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_118,Eukaryota,Ascomycota,NA,Eurotiales,Trichocomaceae,Sagenomella,NA
ASV_119,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inosperma,Inosperma_ismeneanum
ASV_120,Eukaryota,Basidiomycota,NA,Atheliales,Pilodermataceae,Piloderma,Piloderma_sp
ASV_121,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_122,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_123,NA,NA,NA,NA,NA,NA,NA
ASV_124,NA,NA,NA,NA,NA,NA,NA
ASV_125,Eukaryota,Basidiomycota,NA,Agaricales,Amanitaceae,Amanita,Amanita_rubescens
ASV_126,NA,NA,NA,NA,NA,NA,NA
ASV_127,Eukaryota,Ascomycota,NA,Helotiales,NA,NA,NA
ASV_128,Eukaryota,Ascomycota,NA,Mytilinidales,Gloniaceae,NA,NA
ASV_129,Eukaryota,Ascomycota,NA,Chaetosphaeriales,Chaetosphaeriaceae,NA,NA
ASV_130,Eukaryota,Ascomycota,NA,Mytilinidales,Gloniaceae,NA,NA
ASV_131,Eukaryota,Mortierellomycota,NA,Mortierellales,Mortierellaceae,NA,NA
ASV_132,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,NA
ASV_133,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_pelargonium
ASV_134,Eukaryota,Basidiomycota,NA,NA,NA,NA,NA
ASV_135,Eukaryota,Basidiomycota,NA,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp
ASV_136,Eukaryota,Ascomycota,NA,Eurotiales,Elaphomycetaceae,Elaphomyces,NA
ASV_137,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_assimilata
ASV_138,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_139,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,NA
ASV_140,Eukaryota,Ascomycota,NA,Chaetothyriales,Herpotrichiellaceae,NA,NA
ASV_141,Eukaryota,Ascomycota,NA,Hypocreales,Hypocreaceae,Trichoderma,NA
ASV_142,Eukaryota,Basidiomycota,NA,Cantharellales,Hydnaceae,Clavulina,Clavulina_sp
ASV_143,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_minimispora
ASV_144,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_incrustans
ASV_145,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,NA
ASV_146,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_147,Eukaryota,Basidiomycota,NA,Agaricales,NA,NA,NA
ASV_148,Eukaryota,Basidiomycota,NA,Atheliales,Tylosporaceae,Amphinema,Amphinema_sp
ASV_149,Eukaryota,Ascomycota,NA,NA,NA,NA,NA
ASV_150,Eukaryota,Basidiomycota,NA,Atheliales,Pilodermataceae,Piloderma,Piloderma_sp
ASV_151,NA,NA,NA,NA,NA,NA,NA
ASV_152,Eukaryota,Ascomycota,NA,Eurotiales,Elaphomycetaceae,Elaphomyces,NA
ASV_153,NA,NA,NA,NA,NA,NA,NA
ASV_154,Eukaryota,Ascomycota,NA,Chaetothyriales,Cyphellophoraceae,Anthopsis,Anthopsis_sp
ASV_155,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_156,Eukaryota,Ascomycota,NA,Chaetothyriales,Herpotrichiellaceae,Exophiala,NA
ASV_157,Eukaryota,Ascomycota,NA,Pleosporales,NA,NA,NA
ASV_158,Eukaryota,NA,NA,NA,NA,NA,NA
ASV_159,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_160,Eukaryota,Ascomycota,NA,Eurotiales,Aspergillaceae,Penicillium,NA
ASV_161,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,NA
ASV_162,Eukaryota,Ascomycota,NA,Mytilinidales,Gloniaceae,NA,NA
ASV_163,NA,NA,NA,NA,NA,NA,NA
ASV_164,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_165,Eukaryota,Ascomycota,NA,Pleosporales,NA,NA,NA
ASV_166,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_sp
ASV_167,Eukaryota,Basidiomycota,NA,Trichosporonales,Trichosporonaceae,Apiotrichum,NA
ASV_168,Eukaryota,Basidiomycota,NA,Atheliales,Pilodermataceae,Piloderma,Piloderma_sp
ASV_169,Eukaryota,Basidiomycota,NA,Agaricales,Hygrophoraceae,Cuphophyllus,Cuphophyllus_virgineus
ASV_170,Eukaryota,Ascomycota,NA,Hypocreales,Clavicipitaceae,Metarhizium,NA
ASV_171,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,NA
ASV_172,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_petiginosa
ASV_173,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,Russula_aurea
ASV_174,Eukaryota,Basidiomycota,NA,Agaricales,Agaricaceae,Lepiota,Lepiota_boudieri
ASV_175,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_176,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_sp
ASV_177,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,NA
ASV_178,Eukaryota,Ascomycota,NA,Eurotiales,Aspergillaceae,Aspergillus,NA
ASV_179,Eukaryota,Ascomycota,NA,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,Saccharomycetales_sp
ASV_180,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Lactarius,Lactarius_torminosus
ASV_181,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,Russula_griseostipitata
ASV_182,Eukaryota,Basidiomycota,NA,Agaricales,Hygrophoraceae,Hygrophorus,Hygrophorus_sp
