,SPY213303,SPY213304,SPY213305,SPY213306,SPY213307,SPY213308,SPY213309,SPY213310,SPY213311,SPY213312,SPY213313,SPY213314,SPY213315,SPY213316,SPY213317,SPY213318,SPY213319,SPY213320,SPY213321,SPY213323,SPY213324,SPY213325,SPY213326,SPY213327,SPY213328,SPY213329,SPY213330,SPY213331,SPY213332,SPY213333,SPY213334,SPY213335,SPY213336,SPY213337,SPY213338,SPY213339,SPY213340,SPY213341,SPY213342,SPY213343,SPY213344,SPY213345,SPY213346,SPY213347,SPY213348,SPY213349,SPY213350,SPY213351
ASV_25,0,145,128,0,0,0,0,0,4800,0,0,0,0,0,0,0,0,103,102,0,0,79,1735,349,87,97,371,4615,2006,10091,8252,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_26,913,756,493,165,289,1165,492,617,181,75,150,279,458,645,62,518,105,1018,922,445,541,51,45,232,138,360,55,65,31,194,0,137,948,4166,534,819,135,331,127,2561,753,2858,7237,60,341,146,259,265
ASV_27,0,20,0,44,22,0,319,65,176,0,136,19337,580,42,283,73,56,99,97,486,0,16,188,158,158,142,47,128,77,103,69,0,0,0,0,0,0,8735,0,13,0,0,31,55,0,0,121,146
ASV_28,56,2195,181,35,215,269,0,0,58,162,518,564,2185,92,670,292,85,119,25,178,411,234,0,0,0,0,0,0,117,0,0,215,1041,97,127,34,150,332,122,693,63,406,285,2850,10571,1508,1917,886
ASV_29,0,0,3236,304,51,633,1470,625,416,388,206,78,524,165,35,2581,460,983,707,623,840,1404,1268,2430,3272,600,354,972,0,372,0,0,0,0,0,106,3004,0,0,0,286,0,262,52,0,0,0,0
ASV_30,65,259,125,767,157,493,1102,983,1012,204,341,1742,716,310,336,1545,310,865,587,199,240,183,415,294,581,427,126,106,337,416,121,2565,1347,636,2696,1515,702,95,133,445,287,694,380,374,316,107,388,312
ASV_31,295,712,1108,510,762,977,662,255,1134,124,0,0,133,218,60,335,191,855,633,457,200,165,267,462,316,209,5264,3752,474,1391,685,345,0,573,629,1394,221,147,177,393,96,282,544,0,150,43,207,244
ASV_32,493,425,0,268,0,158,2023,94,0,1267,126,868,0,0,614,0,0,0,105,107,0,41,1145,0,0,0,0,0,0,1376,5413,3435,193,1024,2892,381,0,171,2317,48,0,964,61,58,0,0,107,106
ASV_33,1701,2721,525,11967,3262,267,0,0,124,0,0,0,0,0,0,0,0,0,0,55,60,0,0,0,0,353,643,0,142,0,0,0,0,0,0,0,0,0,0,559,0,71,1124,0,1029,0,262,320
ASV_34,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1271,0,0,52,0,0,0,0,0,497,0,0,0,0,0,0,0,19381,1423,0,1943,2,0,0,0,0,0,0,5,0,7,0,0,3
